org_name,recipient_id,demo_year,state,service_area__c,service_area_type__c,Groups,Men,Other_gender,Unknown_gender,Women,age_0_17,age_18_35,age_18_59,age_36_59,age_60_and_Over,Unknown_age,Asian,Black,Hispanic,Native_American,Other_ethnicity,Unknown_ethnicity,White,Non_Veteran,Unknown_veteran,Veteran,Asian_0_17,Asian_18_35,Asian_18_59,Asian_36_59,Asian_60 and Over,Asian_Unknown,Black_0_17,Black_18_35,Black_18_59,Black_36_59,Black_60 and Over,Black_Unknown,Hispanic_0_17,Hispanic_18_35,Hispanic_18_59,Hispanic_36_59,Hispanic_60 and Over,Hispanic_Unknown,Native American_0_17,Native American_18_35,Native American_18_59,Native American_36_59,Native American_60 and Over,Native American_Unknown,Other_0_17,Other_18_35,Other_18_59,Other_36_59,Other_60 and Over,Other_Unknown,Unknown_0_17,Unknown_18_35,Unknown_36_59,Unknown_60 and Over,Unknown_Unknown,White_0_17,White_18_35,White_18_59,White_36_59,White_60 and Over,White_Unknown
"Legal Aid of West Virginia, Inc.",449041,2010,WV,WV-5,Basic Field,1,1661,NA,NA,4786,88,NA,5982,NA,378,NA,17,436,38,22,362,NA,5573,NA,NA,NA,0,NA,16,NA,1,NA,5,NA,410,NA,21,NA,2,NA,35,NA,1,NA,1,NA,20,NA,1,NA,10,NA,348,NA,4,NA,NA,NA,NA,NA,NA,70,NA,5153,NA,350,NA
"Legal Aid of West Virginia, Inc.",449041,2011,WV,MWV,Migrant Worker,0,0,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,0,0,NA,0,NA,NA,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,NA
"Legal Aid of West Virginia, Inc.",449041,2011,WV,WV-5,Basic Field,1,2082,NA,NA,5740,162,NA,7095,NA,566,NA,18,520,57,18,516,NA,6694,NA,NA,NA,1,NA,17,NA,NA,NA,11,NA,468,NA,41,NA,NA,NA,56,NA,1,NA,NA,NA,17,NA,1,NA,10,NA,483,NA,23,NA,NA,NA,NA,NA,NA,140,NA,6054,NA,500,NA
"Legal Aid of West Virginia, Inc.",449041,2012,WV,WV-5,Basic Field,0,1669,NA,NA,5216,140,NA,6279,NA,466,NA,19,443,36,18,458,NA,5911,6540,NA,345,0,NA,18,NA,1,NA,6,NA,402,NA,35,NA,2,NA,32,NA,2,NA,0,NA,16,NA,2,NA,11,NA,430,NA,17,NA,NA,NA,NA,NA,NA,121,NA,5381,NA,409,NA
"Legal Aid of West Virginia, Inc.",449041,2013,WV,WV-5,Basic Field,0,1592,NA,NA,4872,120,NA,5829,NA,515,NA,8,423,39,26,479,NA,5489,5979,NA,485,0,NA,7,NA,1,NA,5,NA,381,NA,37,NA,0,NA,35,NA,4,NA,0,NA,24,NA,2,NA,16,NA,441,NA,22,NA,NA,NA,NA,NA,NA,99,NA,4941,NA,449,NA
"Legal Aid of West Virginia, Inc.",449041,2014,WV,WV-5,Basic Field,0,1794,NA,NA,5253,122,3403,NA,2945,577,NA,13,478,52,30,420,NA,6054,6567,NA,480,0,5,NA,7,1,NA,8,182,NA,240,48,NA,0,31,NA,16,5,NA,1,16,NA,10,3,NA,11,270,NA,134,5,NA,NA,NA,NA,NA,NA,102,2899,NA,2538,515,NA
"Legal Aid of West Virginia, Inc.",449041,2015,WV,WV-5,Basic Field,1,1511,1,NA,4588,159,2897,NA,2548,497,NA,14,432,60,25,445,NA,5125,5691,NA,410,0,8,NA,4,2,NA,14,189,NA,200,29,NA,1,34,NA,24,1,NA,2,4,NA,15,4,NA,11,273,NA,141,20,NA,NA,NA,NA,NA,NA,131,2389,NA,2164,441,NA
"Legal Aid of West Virginia, Inc.",449041,2016,WV,WV-5,Basic Field,0,1551,2,NA,4798,164,2988,NA,2684,515,NA,19,382,33,18,518,NA,5381,6024,NA,327,0,12,NA,7,0,NA,9,140,NA,201,32,NA,0,20,NA,11,2,NA,0,6,NA,7,5,NA,11,327,NA,163,17,NA,NA,NA,NA,NA,NA,144,2483,NA,2295,459,NA
"Legal Aid of West Virginia, Inc.",449041,2017,WV,WV-5,Basic Field,NA,1619,1,0,4837,201,3024,NA,2637,595,0,14,446,44,22,454,0,5477,6071,0,386,0,9,NA,5,0,0,16,185,NA,196,49,0,0,18,NA,25,1,0,0,4,NA,10,8,0,17,278,NA,137,22,0,0,0,0,0,0,168,2530,NA,2264,515,0
Legal Aid of Western Michigan,423141,2008,MI,MI-15,Basic Field,1,997,NA,NA,3145,61,NA,3642,NA,440,NA,32,1149,254,51,125,NA,2532,NA,NA,NA,0,NA,32,NA,0,NA,21,NA,1016,NA,112,NA,6,NA,236,NA,12,NA,1,NA,47,NA,3,NA,4,NA,116,NA,5,NA,NA,NA,NA,NA,NA,29,NA,2195,NA,308,NA
